carrier,median_transit_days,p80_transit_days,avg_tracking_events
TIPSA,2.9,7.3,5.2
UPS,4.0,10.0,4.8
Royal Mail,4.2,14.3,4.4
Austrian Post,5.4,12.9,8.1
DHL,5.8,11.1,16.2
Cainiao,7.2,12.1,18.1
Evri,7.2,13.1,8.5
GOFO,7.9,12.9,10.6
GoFo Express,8.4,16.4,15.9
GLY,9.1,12.2,20.2
USPS,9.4,12.7,10.2
China Post,11.0,17.8,21.6
UniUni,11.0,17.5,7.2
SPT,11.9,15.9,16.6
CTT Express,12.0,16.6,2.9
AliExpress,12.4,16.3,17.4
Yanwen Express,12.9,29.3,18.8
YFH,13.0,16.4,17.3
YunExpress,13.3,19.0,15.4
1ST,16.7,17.7,19.3
ShopLine,16.7,23.6,18.1
FXYL,22.8,26.8,10.8
DZTGJ,23.6,23.8,11.3
chengxiao,29.8,30.1,7.4
